input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,csp_domains_,final_url,tls_subject_org_
e-mailveilig.internet.nl,emailveilig.internet.nl,200,94665,emailveilig.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,emailveilig.internet.nl,443,https://e-mailveilig.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,-575151554,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,,,https://emailveilig.internet.nl,
en.batch.internet.nl,401 Unauthorized,401,381,en.batch.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-07T00:00:00Z,2024-03-16T23:59:59Z,CN=batch.internet.nl,batch.internet.nl,www.batch.internet.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,224134eb54b2850f6b0d1220715a243e,f3b798772661b760db7a030fcde47b07e6267f6829bc1cb3a04c4ee8ecae9885,ctls,en.batch.internet.nl,443,https://en.batch.internet.nl:443,https,intentionally-undisclosed-internetnl-139sj2W9kB8,text/html,GET,62.204.66.12,/,-1042534128,2a00:d00:ff:162:62:204:66:12,HSTS,13,False,,,,
en.dev.batch.internet.nl,401 Unauthorized,401,381,en.dev.batch.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-07T00:00:00Z,2024-03-17T23:59:59Z,CN=dev.batch.internet.nl,dev.batch.internet.nl,www.dev.batch.internet.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ead8b33ef0ca766b6517e2d8b983122a,5fe7dae52af8863b336bc5d78590cb452d26d4e324f6cd3831eb50a84a5bf903,ctls,en.dev.batch.internet.nl,443,https://en.dev.batch.internet.nl:443,https,Apache,text/html,GET,62.204.66.17,/,-1042534128,2a00:d00:ff:162:62:204:66:17,HSTS,13,False,,,,
en.dev.internet.nl,401 Unauthorized,401,466,en.dev.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-17T00:00:00Z,2023-08-23T23:59:59Z,CN=dev.internet.nl,dev.internet.nl,www.dev.internet.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,8df5c6d3aad5633a5564d66c27bea8d9,10629c3b6d86acc317ad77988b5c5e3f0d61e65559d1ae9b502b6d21714c1403,ctls,en.dev.internet.nl,443,https://en.dev.internet.nl:443,https,intentionally-undisclosed-internetnl-139sj2W9kB8,text/html,GET,62.204.66.15,/,-268909161,2a00:d00:ff:162:62:204:66:15,HSTS,15,False,,,,
en.internet.nl,"Test for modern Internet Standards like IPv6, DNSSEC, HTTPS, DMARC, STARTTLS
 and DANE.",200,11437,en.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,en.internet.nl,443,https://en.internet.nl:443,https,intentionally-undisclosed-internetnl-139sj2W9kB8,text/html,GET,62.204.66.10,/,-1042534128,2a00:d00:ff:162:62:204:66:10,Python,438,False,,*.internet.nl,,
https://matomo.internet.nl,Sign in - Matomo,200,105031,matomo.internet.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-02T00:00:00Z,2023-09-07T23:59:59Z,CN=matomo.internet.nl,matomo.internet.nl,matomo.internet.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,afcf8e1c5a41bcc783636e66c76cbe78,fc7d1c012fa6f0898ac046f03131ae131e624fa6b3af5adbda7f442771e7ab25,ctls,matomo.internet.nl,443,https://matomo.internet.nl:443,https,Apache,text/html,GET,62.204.66.20,/,-1840324437,2a00:d00:ff:162:62:204:66:20,Matomo Analytics,283,False,,,,
internet.nl,"Test for modern Internet Standards like IPv6, DNSSEC, HTTPS, DMARC, STARTTLS
 and DANE.",200,11437,internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,internet.nl,443,https://internet.nl:443,https,intentionally-undisclosed-internetnl-139sj2W9kB8,text/html,GET,62.204.66.10,/,-1042534128,2a00:d00:ff:162:62:204:66:10,Python,438,False,,*.internet.nl,,
ipv6kaart.internet.nl,Loading map...,200,1418,ipv6kaart.internet.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T17:20:46Z,2023-08-07T17:20:45Z,CN=ipv6kaart.internet.nl,ipv6kaart.internet.nl,landkaart.internet.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,83af72418abe6912466fb2e035de848d,88543f9dfa5481bb76998d8dae1235b3c0ffd7392b6c430bd85bafb5ad40bb49,ctls,ipv6kaart.internet.nl,443,https://ipv6kaart.internet.nl:443,https,nginx,text/html,GET,93.119.13.25,/,-201554929,2a01:7c8:bb09:2a:5054:ff:fe24:c0f8,Nginx,1,False,,https://*.tile.osm.org,,
ipv6kaartmetingen.internet.nl,401 Unauthorized,401,477,ipv6kaartmetingen.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-03T13:15:57Z,2023-08-01T13:15:56Z,CN=ipv6kaartmetingen.internet.nl,ipv6kaartmetingen.internet.nl,ipv6kaartmetingen.internet.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,abd7ca0204addd568fed3de1d973043e,15641ba6fcbe7b20863fcb140e364ca48e2922e1aca2e6d177e6ce600daf13db,ctls,ipv6kaartmetingen.internet.nl,443,https://ipv6kaartmetingen.internet.nl:443,https,intentionally-undisclosed-internetnl-139sj2W9kB8,text/html,GET,136.144.246.3,/,-51854132,2a01:7c8:d006:35f:5054:ff:fe0a:8dd8,HSTS,15,False,,,,
kaart.internet.nl,Loading map...,200,1418,kaart.internet.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T17:20:46Z,2023-08-07T17:20:45Z,CN=ipv6kaart.internet.nl,ipv6kaart.internet.nl,landkaart.internet.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,83af72418abe6912466fb2e035de848d,88543f9dfa5481bb76998d8dae1235b3c0ffd7392b6c430bd85bafb5ad40bb49,ctls,kaart.internet.nl,443,https://kaart.internet.nl:443,https,nginx,text/html,GET,93.119.13.25,/,-201554929,2a01:7c8:bb09:2a:5054:ff:fe24:c0f8,Nginx,1,False,,https://*.tile.osm.org,,
