new,host,a,mx,soa,txt,status_code,aaaa,cdn,cdn-name,cname,caa,ns,has_internal_ips,internal_ips
[x],www.creative-champions.wd.com,146.255.58.49,,"ns1.wdc.com, dnsadmin.wdc.com",,NOERROR,2a02:1b8:3:1::49,,,,,,,
,a.bugcrowd.com,"205.251.192.161, 205.251.195.240, 205.251.197.38, 205.251.198.12",,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,"ns-1008.awsdns-62.net, ns-1318.awsdns-36.org, ns-1548.awsdns-01.co.uk, ns-161.awsdns-20.com",,
,aem-dev.westerndigital.com,"34.208.84.145, 54.148.210.29",,"dns1.easydns.com, zone.easydns.com",,NOERROR,,,,sanakamai-aws.sandisk.com,,,,
,aem-stage.westerndigital.com,"54.148.210.29, 34.208.84.145",,"dns1.easydns.com, zone.easydns.com",,NOERROR,,,,sanakamai-aws.sandisk.com,,,,
,aem.westerndigital.com,"54.148.210.29, 34.208.84.145",,"dns1.easydns.com, zone.easydns.com",,NOERROR,,,,sanakamai-aws.sandisk.com,,,,
,apac-hackathon.westerndigital.com,"34.208.84.145, 54.148.210.29",,"dns1.easydns.com, zone.easydns.com",,NOERROR,,,,sanakamai-aws.sandisk.com,,,,
,api-dev.westerndigital.com,"34.208.84.145, 54.148.210.29",,"dns1.easydns.com, zone.easydns.com",,NOERROR,,,,sanakamai-aws.sandisk.com,,,,
,api-qa.westerndigital.com,"54.148.210.29, 34.208.84.145",,"dns1.easydns.com, zone.easydns.com",,NOERROR,,,,sanakamai-aws.sandisk.com,,,,
,api-uat.westerndigital.com,"34.208.84.145, 54.148.210.29",,"dns1.easydns.com, zone.easydns.com",,NOERROR,,,,sanakamai-aws.sandisk.com,,,,
,api.bugcrowd.com,"104.20.6.68, 104.20.7.68",,"edna.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"2606:4700:10::6814:644, 2606:4700:10::6814:744",True,cloudflare,,,,,
,assetinventory.bugcrowd.com,"104.20.7.68, 104.20.6.68","mxa.mailgun.org, mxb.mailgun.org","edna.ns.cloudflare.com, dns.cloudflare.com",v=spf1 include:mailgun.org -all,NOERROR,"2606:4700:10::6814:644, 2606:4700:10::6814:744",True,cloudflare,,,,,
,auth0.accounts.westerndigital.com,"104.18.102.2, 104.18.103.2",,"kolton.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"2606:4700::6812:6602, 2606:4700::6812:6702",True,cloudflare,wdc-cd-hxmodpg5g8lpz3yc.edge.tenants.auth0.com,"letsencrypt.org, digicert.com",,,
,beta.westerndigital.com,35.167.237.18,,"ns1.wdc.com, dnsadmin.wdc.com",,NOERROR,,,,,,,,
,blog-cm.westerndigital.com,,,"ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,,,,blog-cm.westerndigital.com.cdn.cloudflare.net,,,,
,blog.bugcrowd.com,"104.20.6.68, 104.20.7.68",,"edna.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,"2606:4700:10::6814:644, 2606:4700:10::6814:744",True,cloudflare,,,,,
,blog.westerndigital.com,23.185.0.4,,"ns1.wdc.com, dnsadmin.wdc.com",,NOERROR,"2620:12a:8000::4, 2620:12a:8001::4",,,,,"ns2.wdc.com, ans1.wdc.com, ns1.wdc.com, ans2.wdc.com",,
,bounce.bugcrowd.com,192.28.152.174,bounce.bugcrowd.com,"edna.ns.cloudflare.com, dns.cloudflare.com",v=spf1 include:mktomail.com -all,NOERROR,,,,,,,,
,cmat.dev.westerndigital.com,"18.66.147.41, 18.66.147.42, 18.66.147.51, 18.66.147.29",,"ns-696.awsdns-23.net, awsdns-hostmaster.amazon.com",,NOERROR,"2600:9000:225e:d600:b:34da:2980:93a1, 2600:9000:225e:3200:b:34da:2980:93a1, 2600:9000:225e:ce00:b:34da:2980:93a1, 2600:9000:225e:1200:b:34da:2980:93a1, 2600:9000:225e:a00:b:34da:2980:93a1, 2600:9000:225e:aa00:b:34da:2980:93a1, 2600:9000:225e:a400:b:34da:2980:93a1, 2600:9000:225e:d200:b:34da:2980:93a1",True,cloudfront,d2ze1ptisvuc9y.cloudfront.net,,"ns-696.awsdns-23.net, ns-1061.awsdns-04.org, ns-1743.awsdns-25.co.uk, ns-33.awsdns-04.com",,
,cmat.webapi.dev.westerndigital.com,129.253.14.63,,"ns1.wdc.com, dnsadmin.wdc.com",,NOERROR,,,,,,,,
,cmat.webapi.stage.westerndigital.com,129.253.14.63,,"ns1.wdc.com, dnsadmin.wdc.com",,NOERROR,,,,,,,,
,cmat.webapi.westerndigital.com,"10.226.77.43, 10.226.68.9",,"ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,awseb-awseb-num056kqskvu-fed0301da7d94a89.elb.us-west-2.amazonaws.com,,,True,"10.226.77.43, 10.226.68.9"
,cmat.westerndigital.com,"18.66.122.9, 18.66.122.72, 18.66.122.108, 18.66.122.100",,"ns-314.awsdns-39.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:9000:2250:600:1f:c865:90c0:93a1, 2600:9000:2250:1400:1f:c865:90c0:93a1, 2600:9000:2250:5a00:1f:c865:90c0:93a1, 2600:9000:2250:b400:1f:c865:90c0:93a1, 2600:9000:2250:e400:1f:c865:90c0:93a1, 2600:9000:2250:d000:1f:c865:90c0:93a1, 2600:9000:2250:fa00:1f:c865:90c0:93a1, 2600:9000:2250:4200:1f:c865:90c0:93a1",True,cloudfront,d3e04qraqsjl8j.cloudfront.net,,"ns-1193.awsdns-21.org, ns-2026.awsdns-61.co.uk, ns-314.awsdns-39.com, ns-564.awsdns-06.net",,
,commerce-dev.westerndigital.com,"34.208.84.145, 54.148.210.29",,"dns1.easydns.com, zone.easydns.com",,NOERROR,,,,sanakamai-aws.sandisk.com,,,,
,commerce-qa.westerndigital.com,"54.148.210.29, 34.208.84.145",,"dns1.easydns.com, zone.easydns.com",,NOERROR,,,,sanakamai-aws.sandisk.com,,,,
,commerce-uat.westerndigital.com,"34.208.84.145, 54.148.210.29",,"dns1.easydns.com, zone.easydns.com",,NOERROR,,,,sanakamai-aws.sandisk.com,,,,
,commerce.westerndigital.com,"34.208.84.145, 54.148.210.29",,"dns1.easydns.com, zone.easydns.com",,NOERROR,,,,sanakamai-aws.sandisk.com,,,,
,community.wd.com,184.105.99.75,mx-corp1.discoursemail.com,"ns-104.awsdns-13.com, awsdns-hostmaster.amazon.com",,NOERROR,2602:fd3f:3:ff02::4b,,,wd.hosted-by-discourse.com,letsencrypt.org,,,
,creative-champions.wd.com,146.255.58.49,,"ns1.wdc.com, dnsadmin.wdc.com",,NOERROR,2a02:1b8:3:1::49,,,,,"ns1.wdc.com, ns2.wdc.com, ans1.wdc.com, ans2.wdc.com",,
,crowdcontrol.a.bugcrowd.com,"52.4.199.19, 3.224.25.98, 34.197.189.83, 50.16.0.5, 44.214.55.70",,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,crowdcontrol.bugcrowd.com,,"mxb.mailgun.org, mxa.mailgun.org","edna.ns.cloudflare.com, dns.cloudflare.com",v=spf1 include:mailgun.org -all,NOERROR,,,,,,,,
,crowdmatch.a.bugcrowd.com,"35.174.246.227, 3.208.108.238",,"ns-161.awsdns-20.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,
,datamakespossible.westerndigital.com,"34.208.84.145, 54.148.210.29",,"dns1.easydns.com, zone.easydns.com",,NOERROR,,,,sanakamai-aws.sandisk.com,,,,
,dev-auth0.accounts.westerndigital.com,"104.18.103.2, 104.18.102.2",,"kolton.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"2606:4700::6812:6602, 2606:4700::6812:6702",True,cloudflare,wdc-dev1-cd-davyqmlj4e16icfe.edge.tenants.auth0.com,"letsencrypt.org, digicert.com",,,
,docs.bugcrowd.com,"104.20.7.68, 104.20.6.68",,"edna.ns.cloudflare.com, dns.cloudflare.com",v=spf1 -all,NOERROR,"2606:4700:10::6814:644, 2606:4700:10::6814:744",True,cloudflare,,,,,
,documentation.bugcrowd.com,"104.18.210.56, 104.18.211.56",,"jeremy.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"2606:4700::6812:d338, 2606:4700::6812:d238",True,cloudflare,ssl.readmessl.com,"pki.goog; cansignhttpexchanges=yes, comodoca.com, digicert.com, letsencrypt.org",,,
,documents.westerndigital.com,2.23.141.84,,"n0g.akamaiedge.net, hostmaster.akamai.com",,NOERROR,,,,"studio.sandisk.com.edgekey.net, e2650.g.akamaiedge.net",,,,
,email.assetinventory.bugcrowd.com,"34.102.239.211, 34.160.13.42","mxa.mailgun.org, mxb.mailgun.org","ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com","8f7088gv5932jxw9lwwd1b6ttx2pw2ds, google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA, v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all",NOERROR,,True,google,mailgun.org,"digicert.com, letsencrypt.org, ;","ns-133.awsdns-16.com, ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk, ns-586.awsdns-09.net",,
,email.bugcrowd.com,,,"edna.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,
,email.bugs.bugcrowd.com,34.110.180.34,"mxa.mailgun.org, mxb.mailgun.org","ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com","8f7088gv5932jxw9lwwd1b6ttx2pw2ds, google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA, v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all",NOERROR,,True,google,mailgun.org,"digicert.com, letsencrypt.org, ;","ns-133.awsdns-16.com, ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk, ns-586.awsdns-09.net",,
