input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url
calendarofhope.impactguru.com,Crowdfunding in India: Best Fundraising Platform Online | ImpactGuru,200,161671,www.impactguru.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T00:00:00Z,2024-04-29T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",196c739e72b405db505ede99a81d655e,a712c7c52a4b8a0df3a29c92dd87d1cf01d1bb34c955f95d692d8f81232c5bd7,True,ctls,www.impactguru.com,cloudflare,443,https://calendarofhope.impactguru.com:443,https,cloudflare,text/html,GET,172.66.40.137,/,848353611,2606:4700:3108::ac42:2889,PHP,9,False,True,https://www.impactguru.com
cancer.impactguru.com,Crowdfunding in India: Best Fundraising Platform Online | ImpactGuru,200,161671,www.impactguru.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T00:00:00Z,2024-04-29T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",196c739e72b405db505ede99a81d655e,a712c7c52a4b8a0df3a29c92dd87d1cf01d1bb34c955f95d692d8f81232c5bd7,True,ctls,www.impactguru.com,cloudflare,443,https://cancer.impactguru.com:443,https,cloudflare,text/html,GET,172.66.43.119,/,848353611,2606:4700:3108::ac42:2b77,PHP,9,False,True,https://www.impactguru.com
confluence-chefm.accelerator.impactguru.com,,403,16,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://confluence-chefm.accelerator.impactguru.com:80,http,cloudflare,text/plain,GET,172.66.43.119,/,1659100526,2606:4700:3108::ac42:2b77,HTTP/3,1,False,True,
crowdfunding.impactguru.com,Crowdfunding in India: Best Fundraising Platform Online | ImpactGuru,200,161671,www.impactguru.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T00:00:00Z,2024-04-29T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",196c739e72b405db505ede99a81d655e,a712c7c52a4b8a0df3a29c92dd87d1cf01d1bb34c955f95d692d8f81232c5bd7,True,ctls,www.impactguru.com,cloudflare,443,https://crowdfunding.impactguru.com:443,https,cloudflare,text/html,GET,172.66.40.137,/,848353611,2606:4700:3108::ac42:2b77,PHP,9,False,True,https://www.impactguru.com
cycloneamphan.impactguru.com,Crowdfunding in India: Best Fundraising Platform Online | ImpactGuru,200,157264,www.impactguru.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T00:00:00Z,2024-04-29T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",196c739e72b405db505ede99a81d655e,a712c7c52a4b8a0df3a29c92dd87d1cf01d1bb34c955f95d692d8f81232c5bd7,True,ctls,www.impactguru.com,cloudflare,443,https://cycloneamphan.impactguru.com:443,https,cloudflare,text/html,GET,172.66.43.119,/,848353611,2606:4700:3108::ac42:2b77,PHP,3,False,True,https://www.impactguru.com
cyclonefani.impactguru.com,Crowdfunding in India: Best Fundraising Platform Online | ImpactGuru,200,157264,www.impactguru.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T00:00:00Z,2024-04-29T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",196c739e72b405db505ede99a81d655e,a712c7c52a4b8a0df3a29c92dd87d1cf01d1bb34c955f95d692d8f81232c5bd7,True,ctls,www.impactguru.com,cloudflare,443,https://cyclonefani.impactguru.com:443,https,cloudflare,text/html,GET,172.66.43.119,/,848353611,2606:4700:3108::ac42:2b77,PHP,3,False,True,https://www.impactguru.com
daanutsav.impactguru.com,Crowdfunding in India: Best Fundraising Platform Online | ImpactGuru,200,157264,www.impactguru.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T00:00:00Z,2024-04-29T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",196c739e72b405db505ede99a81d655e,a712c7c52a4b8a0df3a29c92dd87d1cf01d1bb34c955f95d692d8f81232c5bd7,True,ctls,www.impactguru.com,cloudflare,443,https://daanutsav.impactguru.com:443,https,cloudflare,text/html,GET,172.66.43.119,/,848353611,2606:4700:3108::ac42:2889,PHP,3,False,True,https://www.impactguru.com
edge-mqtt-mini-shv-02-mrs2.impactguru.com,Crowdfunding in India: Best Fundraising Platform Online | ImpactGuru,200,157264,www.impactguru.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T00:00:00Z,2024-04-29T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",196c739e72b405db505ede99a81d655e,a712c7c52a4b8a0df3a29c92dd87d1cf01d1bb34c955f95d692d8f81232c5bd7,True,ctls,www.impactguru.com,cloudflare,443,https://edge-mqtt-mini-shv-02-mrs2.impactguru.com:443,https,cloudflare,text/html,GET,172.66.40.137,/,848353611,2606:4700:3108::ac42:2889,PHP,3,False,True,https://www.impactguru.com
engineering-uploadsstatus.impactguru.com,Crowdfunding in India: Best Fundraising Platform Online | ImpactGuru,200,157264,www.impactguru.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T00:00:00Z,2024-04-29T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",196c739e72b405db505ede99a81d655e,a712c7c52a4b8a0df3a29c92dd87d1cf01d1bb34c955f95d692d8f81232c5bd7,True,ctls,www.impactguru.com,cloudflare,443,https://engineering-uploadsstatus.impactguru.com:443,https,cloudflare,text/html,GET,172.66.43.119,/,848353611,2606:4700:3108::ac42:2889,PHP,3,False,True,https://www.impactguru.com
floods.impactguru.com,Crowdfunding in India: Best Fundraising Platform Online | ImpactGuru,200,157264,www.impactguru.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T00:00:00Z,2024-04-29T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",196c739e72b405db505ede99a81d655e,a712c7c52a4b8a0df3a29c92dd87d1cf01d1bb34c955f95d692d8f81232c5bd7,True,ctls,www.impactguru.com,cloudflare,443,https://floods.impactguru.com:443,https,cloudflare,text/html,GET,172.66.40.137,/,848353611,2606:4700:3108::ac42:2b77,PHP,3,False,True,https://www.impactguru.com
